FirstName,LastName,Gender,DateOfBirth,Email,PhoneNumber,Address,City,State,PostalCode,Country,LoyaltyProgramID
Nathaniel,Miller,M,25/09/2016,nathanielmiller@gmail.com,(796)454-5786x847,"82964 Alicia Plaza
Port Daisyport  WI 06345",Port Danielberg,Wisconsin,12512,Lao People's Democratic Republic,3
George,Butler,Others,11/04/1973,georgebutler@gmail.com,947-373-0554x2179,"6780 Sean Locks Suite 465
Johnmouth  RI 79883",Andrewside,Utah,60582,Bangladesh,4
Megan,Jennings,Not Specified,30/01/1973,meganjennings@gmail.com,001-288-233-4995x86748,"0527 Paul Loaf Apt. 201
South Lindabury  TN 87850",New Heatherstad,Louisiana,11730,Micronesia,5
David,Davis,Not Specified,11/12/1989,daviddavis@gmail.com,-6642,"6135 Young Bypass Apt. 391
Port Jason  LA 83569",South Elizabeth,Massachusetts,54771,Namibia,3
Eric,Davis,F,08/04/2004,ericdavis@gmail.com,001-407-498-6257x8322,"50860 Steven Fords Apt. 600
Ericshire  GA 15477",Thomastown,Alabama,56899,Somalia,4
Breanna,Robertson,M,18/06/2018,breannarobertson@gmail.com,(911)320-3213x1203,"3475 Howell Drives Suite 609
Penamouth  MN 74081",Connieshire,Iowa,2560,Korea,4
Robert,Walker,M,23/10/1980,robertwalker@gmail.com,001-987-983-3228x116,"138 Morse Squares Suite 660
West Jessica  MI 99912",New Theresafurt,Minnesota,94061,Monaco,1
Tiffany,Evans,Not Specified,24/10/1978,tiffanyevans@gmail.com,854.925.0565,"002 Burgess Keys
Johnsonfurt  MO 72660",South Davidside,Nevada,15334,Argentina,2
Eric,Williams,Others,19/07/1971,ericwilliams@gmail.com,(519)716-1292x31860,"31470 Alexandra Islands
Lake Christopher  KS 74049",Port Amberton,Colorado,29271,Aruba,2
Casey,Johnson,F,13/05/1989,caseyjohnson@gmail.com,705-689-3790x434,"39524 Ramsey Fort Apt. 312
Jerryland  CT 53926",Jameschester,Rhode Island,90338,Maldives,4
Bradley,Fisher,M,12/08/2015,bradleyfisher@gmail.com,494.320.8886x8071,"98058 Lopez Ramp Suite 570
Lake Michaelfurt  NH 68530",Alejandrotown,Colorado,79441,Falkland Islands (Malvinas),4
Connie,Williams,Others,07/11/2011,conniewilliams@gmail.com,201-996-5283x9342,"0156 Tyrone Court
Port Lauraburgh  WI 96943",Port Matthewfurt,New Mexico,81924,Vanuatu,3
